Prsnlty_type,HrsSmrtPhnUse_Wkday,CallFamMem,CallFrnds,Txtng,Entertainment,NgtvePhysHlthEffcts_SmrtPhnUse,DcreasdSlpTimeQulty_SmrtPhnUse,TiredDaytime_latenightSmrtPhnUse,Compulsive_Behavior,Functional_Impairment,TotAddiction_Score,Depression_score,Anxiety_score
1,1,1,1,0,0,1,1,1,9,8,28,1,3
1,0,1,1,1,1,2,2,2,16,18,54,2,3
0,0,1,0,0,0,1,1,1,9,8,26,2,1
0,1,0,0,1,1,2,2,1,20,17,56,2,1
0,1,1,1,1,1,3,2,2,21,17,58,2,2
1,1,0,0,1,0,1,1,1,9,8,26,3,4
0,0,1,1,1,1,1,1,1,10,11,33,1,3
0,0,0,0,0,0,1,1,1,9,8,26,3,5
0,1,1,0,1,1,3,2,3,14,15,45,0,2
1,1,1,1,1,1,2,2,2,19,20,65,4,6
0,1,1,1,1,1,2,2,2,27,17,68,3,6
0,0,0,0,1,1,1,1,1,10,10,33,0,0
0,1,1,1,1,0,1,3,3,14,18,53,2,6
0,1,1,1,1,1,3,1,3,21,19,63,3,2
0,1,1,1,1,1,1,3,2,19,18,60,1,0
1,1,1,1,1,1,1,1,1,9,8,27,0,0
0,1,0,0,1,1,3,3,2,23,20,66,1,2
1,1,1,1,1,1,3,3,3,25,20,71,2,3
0,1,1,0,1,1,2,2,1,17,13,48,2,2
0,0,1,1,1,0,1,1,1,9,8,26,2,3
0,0,1,1,1,1,1,1,1,11,8,29,1,2
0,1,1,1,1,1,3,2,2,26,16,66,3,2
0,0,1,1,1,1,2,1,1,12,10,36,4,5
0,1,1,1,1,1,2,2,3,18,17,56,2,2
0,1,0,0,1,1,4,4,2,23,25,73,6,5
0,1,1,1,1,1,2,3,3,22,19,62,1,2
1,1,0,0,1,1,2,2,2,18,16,52,1,2
0,1,1,0,0,0,4,4,4,33,32,91,0,0
1,0,1,1,1,1,2,3,1,17,14,47,3,4
0,0,1,1,1,0,2,2,2,16,15,45,3,1
0,1,1,1,1,1,2,2,2,18,16,52,1,0
1,1,1,1,1,1,3,3,4,24,26,76,2,2
0,0,0,0,1,1,1,1,2,15,13,43,3,4
0,1,1,0,0,0,1,2,2,12,16,42,1,2
0,1,1,1,1,1,1,2,2,16,16,46,1,3
0,1,1,1,1,0,3,3,3,22,19,63,0,1
1,0,1,0,1,1,1,3,1,17,14,52,0,1
1,0,0,1,1,1,2,2,2,20,18,58,2,2
0,1,0,1,1,1,2,1,2,18,13,50,1,4
0,1,1,0,0,1,3,3,2,19,16,53,2,1
1,1,1,1,1,1,3,3,4,28,25,80,2,3
1,1,1,1,1,1,3,3,2,21,21,65,1,3
1,1,0,0,1,1,2,2,4,23,22,68,4,5
0,1,0,0,1,0,2,1,1,13,10,40,2,3
1,1,1,1,1,1,4,2,3,25,17,66,1,1
1,1,0,0,1,1,2,2,2,24,18,70,3,4
1,1,1,1,1,1,3,4,2,26,20,72,2,2
1,1,1,1,1,1,1,2,2,19,16,56,2,2
1,1,1,1,1,0,3,3,3,27,24,78,2,2
1,1,1,1,1,1,3,3,3,27,24,78,3,4
1,0,1,0,1,1,2,2,3,19,15,57,2,0
1,1,1,1,1,1,3,3,3,27,24,72,6,4
0,1,0,0,0,1,1,2,4,14,22,53,3,2
0,1,0,0,1,1,1,2,1,17,16,59,0,0
1,1,1,1,1,1,2,2,3,22,20,66,3,2
0,1,1,1,1,1,3,3,3,21,21,65,2,1
0,0,1,1,1,0,1,1,1,9,8,27,2,0
